phecode,ICD,flag,phecode_string,phecode_category,sex,icd10_only,code_val
ID_023,A00,10,Vibrio,Infections,Both,0,023
ID_089,A00,10,Infections,Infections,Both,0,089
ID_089.1,A00,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A00,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A00,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_023,A00.0,10,Vibrio,Infections,Both,0,023
ID_089,A00.0,10,Infections,Infections,Both,0,089
ID_089.1,A00.0,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A00.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A00.0,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_023,A00.1,10,Vibrio,Infections,Both,0,023
ID_089,A00.1,10,Infections,Infections,Both,0,089
ID_089.1,A00.1,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A00.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A00.1,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_023,A00.9,10,Vibrio,Infections,Both,0,023
ID_089,A00.9,10,Infections,Infections,Both,0,089
ID_089.1,A00.9,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A00.9,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A00.9,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_001,A01,10,Salmonella,Infections,Both,0,001
ID_089,A01,10,Infections,Infections,Both,0,089
ID_089.1,A01,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A01,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_001,A01.0,10,Salmonella,Infections,Both,0,001
ID_089,A01.0,10,Infections,Infections,Both,0,089
ID_089.1,A01.0,10,Bacterial infections,Infections,Both,0,089.1
ID_001,A01.1,10,Salmonella,Infections,Both,0,001
ID_089,A01.1,10,Infections,Infections,Both,0,089
ID_089.1,A01.1,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A01.1,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_001,A01.2,10,Salmonella,Infections,Both,0,001
ID_089,A01.2,10,Infections,Infections,Both,0,089
ID_089.1,A01.2,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A01.2,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_001,A01.3,10,Salmonella,Infections,Both,0,001
ID_089,A01.3,10,Infections,Infections,Both,0,089
ID_089.1,A01.3,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A01.3,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_001,A01.4,10,Salmonella,Infections,Both,0,001
ID_089,A01.4,10,Infections,Infections,Both,0,089
ID_089.1,A01.4,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A01.4,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_001,A02,10,Salmonella,Infections,Both,0,001
ID_089,A02,10,Infections,Infections,Both,0,089
ID_089.1,A02,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A02,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A02,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_001,A02.0,10,Salmonella,Infections,Both,0,001
ID_089,A02.0,10,Infections,Infections,Both,0,089
ID_089.1,A02.0,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A02.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A02.0,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_001,A02.1,10,Salmonella,Infections,Both,0,001
ID_089,A02.1,10,Infections,Infections,Both,0,089
ID_089.1,A02.1,10,Bacterial infections,Infections,Both,0,089.1
ID_092,A02.1,10,"Bacteremia, Sepsis, and SIRS",Infections,Both,0,092
ID_092.2,A02.1,10,Sepsis,Infections,Both,0,092.2
ID_001,A02.2,10,Salmonella,Infections,Both,0,001
ID_089,A02.2,10,Infections,Infections,Both,0,089
ID_089.1,A02.2,10,Bacterial infections,Infections,Both,0,089.1
ID_001,A02.8,10,Salmonella,Infections,Both,0,001
ID_089,A02.8,10,Infections,Infections,Both,0,089
ID_089.1,A02.8,10,Bacterial infections,Infections,Both,0,089.1
ID_001,A02.9,10,Salmonella,Infections,Both,0,001
ID_089,A02.9,10,Infections,Infections,Both,0,089
ID_089.1,A02.9,10,Bacterial infections,Infections,Both,0,089.1
ID_027,A03,10,Shigella,Infections,Both,0,027
ID_089,A03,10,Infections,Infections,Both,0,089
ID_089.1,A03,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A03,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_027,A03.0,10,Shigella,Infections,Both,0,027
ID_089,A03.0,10,Infections,Infections,Both,0,089
ID_089.1,A03.0,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A03.0,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_027,A03.1,10,Shigella,Infections,Both,0,027
ID_089,A03.1,10,Infections,Infections,Both,0,089
ID_089.1,A03.1,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A03.1,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_027,A03.2,10,Shigella,Infections,Both,0,027
ID_089,A03.2,10,Infections,Infections,Both,0,089
ID_089.1,A03.2,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03.2,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A03.2,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_027,A03.3,10,Shigella,Infections,Both,0,027
ID_089,A03.3,10,Infections,Infections,Both,0,089
ID_089.1,A03.3,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03.3,10,Intestinal infection,Gastrointestinal,Both,0,526
